occurrence_no,record_type,reid_no,flags,collection_no,permissions,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,primary_reference,authorizer,enterer,modifier
667872,occ,NA,,71977,NA,Desmatosuchus n. sp. spurensis,species,100584,,Desmatosuchus spurensis,NA,species,100584,Carnian,Norian,237,208.5,Case,1920,37029,Chordata,33815,Reptilia,36322,Eosuchia,37795,Stagonolepididae,64937,Desmatosuchus,38275,NA,NA,NA,2,individuals,-101.113403,33.589661,"UMMP 7476 (holotype), partial skeleton. UMMP 7504, second individual. UMMP 7331, lateral plates",east bank of Blanco River,NA,White River,US,Texas,Crosby,based on nearby landmark,5,outcrop,"near E bank of Blanco (Catfish) River, 0.5 mi E of crossing of the old Spur-Crosbyton mail road",gp_mid,-30.15,8.67,101,US,,Tecovas,Dockum,,group of beds,,,,,,,NA,,"""sand and sandy clay""; upper part of deposit is ""sandy clay""; lower part is ""a light-colored clay with included grains of sand, abundant traces of badly decayed vegetation, and lumps of charcoal. This part of the clay was filled with gypsum...[and] in many places, a thin layer of pyrite...Some parts of the matrix were very hard and colored a deep black""",claystone,,,sandy,Y,claystone,"gypsiferous,pyritic,yellow",,sandy,Y,crevasse splay,,"""evidently accumulated in some isolated hole distinct from the nearest large area of river deposit""",macrofossils,,,,,,NA,,body,,parautochthonous,,,,,,,,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection,survey of museum collection",UMMP,,,,"E. Case, W. Buettner","1917, 1925",,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Desmatosuchus,,,NA,spurensis,n. sp.,E. C. Case. 1920. Preliminary description of a new suborder of phytosaurian reptiles with a description of a new species of Phytosaurus. Journal of Geology 28(6):524-535,M. Carrano,M. Carrano,M. Carrano
667873,occ,27612,,71978,NA,Postosuchus kirkpatricki,species,69074,,Postosuchus kirkpatricki,NA,species,69074,Carnian,Norian,237,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Postosuchus,38264,NA,NA,NA,2,specimens,-101.132889,33.566715,"UMMP 7473, braincase, UMMP V72183/113314, incomplete pelvis",North of Cedar Mountain,NA,UCMP V72183,US,Texas,Crosby,based on nearby landmark,6,small collection,"W side of Blanco (Catfish) River, N of Cedar Mtn (Hill), in breaks to S of the old Spur-Crosbyton mail road",gp_mid,-30.17,8.65,101,US,,Tecovas,Dockum,,bed,,,,,,,NA,,"""a hard matrix of clay""",claystone,,lithified,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,good,,snapshot,,dispersed,,,,,,,,general faunal/floral,"surface (in situ),mechanical,field collection","UCMP,UMMP",,,,E. C. Case,,,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Postosuchus,,,NA,kirkpatricki,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
667874,occ,22909,,71979,NA,n. gen. Spinosuchus n. sp. caseanus,species,65106,,Spinosuchus caseanus,NA,species,65106,Carnian,Norian,237,208.5,Huene,1932,29483,Chordata,33815,Reptilia,36322,Eosuchia,37795,Trilophosauridae,38200,Spinosuchus,65105,NA,NA,NA,1,individuals,-101.138519,33.606396,"UMMP 7507, presacral vertebral column","west bank of Blanco River, northern breaks",NA,,US,Texas,Crosby,based on nearby landmark,6,small collection,"W side of Blanco (Catfish) River, N of Cedar Mtn (Hill), in breaks just N of the old Spur-Crosbyton mail road",gp_mid,-30.17,8.69,101,US,,Tecovas,Dockum,,bed,,,,,,,NA,,"""a light cream-colored clay""",claystone,yellow,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,good,,snapshot,,dispersed,,,,frequent,,,,general faunal/floral,"surface (in situ),mechanical,field collection",UMMP,,,,E. C. Case,,,,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Spinosuchus,n. gen.,,NA,caseanus,n. sp.,"F. v. Huene. 1932. Die fossile Reptil-Ordnung Saurischia, ihre Entwicklung und Geschichte [The fossil reptile order Saurischia, their development and history]. Monographien zur Geologie und Palaeontologie, serie 1 4(1-2):1-361",R. Butler,R. Butler,M. Carrano
667875,occ,NA,,71980,NA,n. gen. Buettneria n. sp. perfecta,species,100583,recombined as,Koskinonodon perfectus,NA,species,100583,Carnian,Norian,237,208.5,Case,1922,24339,Chordata,33815,Osteichthyes,34881,Temnospondyli,36320,Metoposauridae,37162,Koskinonodon,155206,NA,NA,NA,9,individuals,-101.136757,33.523457,"UMMP 7475, 7449, 7448, 7265, 7364, 7366-68, 7469",Sand Creek breaks,NA,,US,Texas,Crosby,based on nearby landmark,6,outcrop,"breaks of Sand Creek, S of Cedar Mtn (Hill)",gp_mid,-30.18,8.61,101,US,,Tecovas,Dockum,,bed,,,,,,,NA,,"""a dark-red, mud-lump conglomerate with some finer material""",mudstone,red,poorly lithified,conglomeratic,Y,,,,,,crevasse splay,,"""an old river-wash""",macrofossils,,,,,,NA,,body,good,,,,,,,,occasional,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",UMMP,,,,E. C. Case,,,,"brackish,freshwater,terrestrial",NA,actively mobile,amphibious,NA,carnivore,,,,hydroxyapatite,,,NA,Buettneria,n. gen.,,NA,perfecta,n. sp.,E. C. Case. 1922. New reptiles and stegocephalians from the Upper Triassic of western Texas. Carnegie Institute of Washington Publication 221:1-84,M. Carrano,M. Carrano,R. Butler
667879,occ,27615,,71982,NA,Postosuchus kirkpatricki,species,69074,,Postosuchus kirkpatricki,NA,species,69074,Carnian,Norian,237,208.5,Long and Murry,1995,14122,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Postosuchus,38264,NA,NA,NA,1,individuals,-102.16111,35.384998,UMMP 13670,Rotten Hill/Herring Ranch (UMMP/PPHM WT),NA,,US,Texas,Potter,stated in text,seconds,local area,,gp_mid,-30.69,10.59,101,US,,Tecovas,Dockum,,group of beds,,,,,,,NA,,"""purple clay""",claystone,"red,blue",,,Y,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,some,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"surface (in situ),field collection",UMMP,,,,E. C. Case,1931,,also includes coprolites and teeth of unknown affinity,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Postosuchus,,,NA,kirkpatricki,,R. A. Long and P. A. Murry. 1995. Late Triassic (Carnian and Norian) tetrapods from the southwestern United States. New Mexico Museum of Natural History and Science Bulletin 4:1-254,R. Butler,R. Butler,
668534,occ,NA,,72086,NA,n. gen. Gomphodontosuchus n. sp. brasiliensis,species,100826,,Gomphodontosuchus brasiliensis,NA,species,100826,Carnian,Norian,237,208.5,Huene,1936,24667,Chordata,33815,Osteichthyes,34881,Cotylosauria,56749,Traversodontidae,39195,Gomphodontosuchus,39207,NA,NA,NA,1,individuals,-53.774166,-29.697779,,"Wald Sanga, Santa Maria (middle)",NA,"Huene Sanga 1, Waldsanga",BR,Rio Grande do Sul,,stated in text,seconds,small collection,"near Santa Maria, between Allemoa and Sao José\r\nCoordinates given by Montefeltro et al. (2010)",gp_mid,-8.99,-38.72,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,Wald Sanga,11,bottom to top,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian. \r\nSpecimens come from approximately 11 metres above the base of the section at Wald Sanga (see Montefeltro et al. 2010: fig. 1)\r\n",,mudstone,"planar lamination,red",,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,good,parautochthonous,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,,,,,hydroxyapatite,,,NA,Gomphodontosuchus,n. gen.,,NA,brasiliensis,n. sp.,"F. v. Huene. 1936. Lieferung 2. Cynodontia [Part 2. Cynodontia]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29  [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668536,occ,NA,,72086,NA,Hoplitosuchus raui,species,100837,,Hoplitosuchus raui,NA,species,100837,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Eosuchia,37795,,NA,Hoplitosuchus,100836,NA,NA,NA,1,individuals,-53.774166,-29.697779,,"Wald Sanga, Santa Maria (middle)",NA,"Huene Sanga 1, Waldsanga",BR,Rio Grande do Sul,,stated in text,seconds,small collection,"near Santa Maria, between Allemoa and Sao José\r\nCoordinates given by Montefeltro et al. (2010)",gp_mid,-8.99,-38.72,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,Wald Sanga,11,bottom to top,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian. \r\nSpecimens come from approximately 11 metres above the base of the section at Wald Sanga (see Montefeltro et al. 2010: fig. 1)\r\n",,mudstone,"planar lamination,red",,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,good,parautochthonous,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Hoplitosuchus,,,NA,raui,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668537,occ,23714,,72087,NA,Teyumbaita sulcognathus,species,174835,,Teyumbaita sulcognathus,NA,species,174834,Norian,,228,208.5,Montefeltro et al.,2010,34758,Chordata,33815,Reptilia,36322,Rhynchosauria,38205,Rhynchosauridae,38206,Teyumbaita,174833,NA,NA,NA,NA,,-53.774166,-29.697779,,Wald Sanga (upper),NA,"Huene Sanga 1, Waldsanga",BR,Rio Grande do Sul,,stated in text,seconds,small collection,"near Santa Maria, between Allemoa and Sao José\r\nCoordinates given by Montefeltro et al. (2010)",gp_mid,-7.18,-38.72,201,BR,,Caturrita,Rosario do Sul,,bed,,,,,,,NA,"Locality is from the upper part of the highstand system tract of the Santa Maria Sequence 2, Santa Maria Supersequence of the Rosario do Sul Group, representing the lower part of the Caturrita Formation of Norian age (see Langer et al. 2007; Montefeltro et al. 2010). Fossils are from a stratigraphically higher level than Hyperodapedon from the same locality. ",,conglomerate,,,,,sandstone,"""cross stratification""",,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,"MCP: Museu de Ciencias e Tecnologia, Pontifcia Universidade Catolica, Porto Alegre, Brazil",,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Teyumbaita,,,NA,sulcognathus,,"F. C. Montefeltro, M. C. Langer, and C. L. Schultz. 2010. Cranial anatomy of a new genus of hyperodapedontine rhynchosaur (Diapsida, Archosauromorpha) from the Upper Triassic of southern Brazil. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 101:27-52",R. Butler,R. Butler,
668539,occ,NA,,72088,NA,Rauisuchus tiradentes,species,100838,,Rauisuchus tiradentes,NA,species,100838,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Rauisuchus,38258,NA,NA,NA,NA,,-53.75,-29.666668,,"Wald Sanga, Santa Maria (lower)",NA,"Huene Sanga 1, Waldsanga",BR,Rio Grande do Sul,,stated in text,minutes,small collection,"near Santa Maria, between Allemoa and Sao José\r\nCoordinates given by Montefeltro et al. (2010)",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,bed,Hyperodapedon,,,,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian.",,mudstone,"planar lamination,red",,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Rauisuchus,,,NA,tiradentes,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668540,occ,NA,,72088,NA,Cephalonia lotziana,species,172420,nomen dubium,Hyperodapedon,NA,genus,38210,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Rhynchosauria,38205,Rhynchosauridae,38206,Hyperodapedon,38210,NA,NA,NA,NA,,-53.75,-29.666668,,"Wald Sanga, Santa Maria (lower)",NA,"Huene Sanga 1, Waldsanga",BR,Rio Grande do Sul,,stated in text,minutes,small collection,"near Santa Maria, between Allemoa and Sao José\r\nCoordinates given by Montefeltro et al. (2010)",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,bed,Hyperodapedon,,,,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian.",,mudstone,"planar lamination,red",,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Cephalonia,,,NA,lotziana,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668542,occ,NA,,72089,NA,Rauisuchus tiradentes,species,100838,,Rauisuchus tiradentes,NA,species,100838,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Rauisuchus,38258,NA,NA,NA,2,specimens,-53.75,-29.666668,"tooth, vertebra","Sanga 2 (excavation 8), Santa Maria",NA,,BR,Rio Grande do Sul,,based on nearby landmark,minutes,small collection,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,bed,Hyperodapedon,,,,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian.",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Rauisuchus,,,NA,tiradentes,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668543,occ,NA,,72090,NA,Scaphonyx fischeri,species,57029,nomen dubium,Hyperodapedon,NA,genus,38210,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Rhynchosauria,38205,Rhynchosauridae,38206,Hyperodapedon,38210,NA,NA,NA,NA,,-53.75,-29.666668,,"Sanga 3, Große Sanga, Santa Maria (lower)",NA,"Huene, Grosse Sanga",BR,Rio Grande do Sul,,based on nearby landmark,minutes,outcrop,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,,,,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian.",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,parautochthonous,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Scaphonyx,,,NA,fischeri,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668544,occ,NA,,72090,NA,n. gen. Hoplitosuchus n. sp. raui,species,100837,,Hoplitosuchus raui,NA,species,100837,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Eosuchia,37795,,NA,Hoplitosuchus,100836,NA,NA,NA,NA,,-53.75,-29.666668,"Girdle, limb elements and osteoderms","Sanga 3, Große Sanga, Santa Maria (lower)",NA,"Huene, Grosse Sanga",BR,Rio Grande do Sul,,based on nearby landmark,minutes,outcrop,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,,,,,,NA,"Santa Maria 2 (upper half of Santa Maria Formation), from the so-called ""Rhynchosaur Cenozone"" or ""Hyperodapedon Assemblage Zone"". The Hyperodapedon Assemblage Zone has generally considered been late Carnian in age, but could extend into the early Norian.",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,parautochthonous,,,concentrated,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Hoplitosuchus,n. gen.,,NA,raui,n. sp.,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,R. Butler
668685,occ,NA,,72136,NA,Rauisuchus tiradentes,species,100838,,Rauisuchus tiradentes,NA,species,100838,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Eosuchia,37795,Rauisuchidae,38249,Rauisuchus,38258,NA,NA,NA,1,specimens,-53.75,-29.666668,tooth,"Sanga 3, Große Sanga, Santa Maria (general)",NA,"Huene, Grosse Sanga",BR,Rio Grande do Sul,,based on nearby landmark,minutes,outcrop,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,,,,,,NA,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,parautochthonous,,,dispersed,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,carnivore,,,,hydroxyapatite,,,NA,Rauisuchus,,,NA,tiradentes,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,
668686,occ,NA,,72136,NA,Scaphonyx fischeri,species,57029,nomen dubium,Hyperodapedon,NA,genus,38210,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Rhynchosauria,38205,Rhynchosauridae,38206,Hyperodapedon,38210,NA,NA,NA,NA,,-53.75,-29.666668,,"Sanga 3, Große Sanga, Santa Maria (general)",NA,"Huene, Grosse Sanga",BR,Rio Grande do Sul,,based on nearby landmark,minutes,outcrop,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,,,,,,NA,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,parautochthonous,,,dispersed,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Scaphonyx,,,NA,fischeri,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,
668687,occ,NA,,72136,NA,Cephalonia lotziana,species,172420,nomen dubium,Hyperodapedon,NA,genus,38210,Carnian,Norian,237,208.5,Huene,1942,24388,Chordata,33815,Reptilia,36322,Rhynchosauria,38205,Rhynchosauridae,38206,Hyperodapedon,38210,NA,NA,NA,NA,,-53.75,-29.666668,,"Sanga 3, Große Sanga, Santa Maria (general)",NA,"Huene, Grosse Sanga",BR,Rio Grande do Sul,,based on nearby landmark,minutes,outcrop,"near Santa Maria, between Allemoa and Sao José",gp_mid,-8.96,-38.68,201,BR,,Santa Maria,Rosario do Sul,Alemoa,group of beds,Hyperodapedon,,,,,,NA,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,parautochthonous,,,dispersed,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection",,,,,Stahlecker,1928-1929,,,terrestrial,NA,actively mobile,,NA,herbivore,,,,hydroxyapatite,,,NA,Cephalonia,,,NA,lotziana,,"F. v. Huene. 1942. Lieferungen 3/4. Pseudosuchia, Saurischia, Rhynchosauridae und Schlussabschnitt [Parts 3/4.  Pseudosuchia, Saurischia, Rhynchosauridae, and Conclusions]. Die Fossilen Reptilien des Südamerikanischen Gondwanalandes.  Ergebnisse der Sauriergrabungen in Südbrasilien 1928/29 [The Fossil Reptiles of South American Gondwanaland.  Results of the Dinosaur Expeditions in southern Brazil 1928/29].  C. H. Beck'sche Verlagsbuchhandlung, München ",M. Carrano,M. Carrano,
